|Name|Genre|Description|Duration|ContentRating|Rating
126|Taxi Driver|Crime, Drama|A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.|PT1H54M|R|8.2
127|Dangal|Action, Biography, Drama|Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.|PT2H41M|Not Rated|8.3
128|Batman Begins|Action, Crime, Drama|After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.|PT2H20M|PG-13|8.2
129|Per qualche dollaro in più|Drama, Western|Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.|PT2H12M|R|8.2
130|The Wolf of Wall Street|Biography, Comedy, Crime|Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.|PT3H|R|8.2
131|Green Book|Biography, Comedy, Drama|A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.|PT2H10M|12A|8.2
132|Some Like It Hot|Comedy, Music, Romance|After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.|PT2H1M|Approved|8.2
133|The Kid|Comedy, Drama, Family|The Tramp cares for an abandoned child, but events put their relationship in jeopardy.|PT1H8M|Passed|8.2
134|The Truman Show|Comedy, Drama|An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.|PT1H43M|PG|8.2
135|Judgment at Nuremberg|Drama, War|Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti...|PT2H59M|Approved|8.3
136|The Father|Drama, Mystery|A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.|PT1H37M|PG-13|8.2
137|All About Eve|Drama|Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.|PT2H18M|Approved|8.2
138|Shutter Island|Drama, Mystery, Thriller|Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.|PT2H18M|R|8.2
139|There Will Be Blood|Drama|A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.|PT2H38M|R|8.2
140|Jurassic Park|Action, Adventure, Sci-Fi|An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger.|PT2H7M|PG-13|8.2
141|Top Gun: Maverick|Action, Drama|The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.|PT2H10M|PG-13|8.2
142|Casino|Crime, Drama|In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.|PT2H58M|R|8.2
143|Ran|Action, Drama, War|In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.|PT2H40M|R|8.2
144|The Sixth Sense|Drama, Mystery, Thriller|Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.|PT1H47M|PG-13|8.2
145|El laberinto del fauno|Drama, Fantasy, War|In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.|PT1H58M|R|8.2
146|Unforgiven|Drama, Western|Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.|PT2H10M|R|8.2
147|No Country for Old Men|Crime, Drama, Thriller|Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.|PT2H2M|R|8.2
148|The Thing|Horror, Mystery, Sci-Fi|A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.|PT1H49M|18|8.2
149|A Beautiful Mind|Biography, Drama, Mystery|A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.|PT2H15M|PG-13|8.2
150|Kill Bill: Vol. 1|Action, Crime, Thriller|After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.|PT1H51M|R|8.2
151|The Treasure of the Sierra Madre|Adventure, Drama, Western|Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.|PT2H6M|Approved|8.2
152|Yôjinbô|Action, Drama, Thriller|A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.|PT1H50M|Not Rated|8.2
153|The Great Escape|Adventure, Drama, Thriller|Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.|PT2H52M|Approved|8.2
154|Monty Python and the Holy Grail|Adventure, Comedy, Fantasy|King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.|PT1H31M|PG|8.2
155|Finding Nemo|Animation, Adventure, Comedy|After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.|PT1H40M|G|8.2
156|Prisoners|Crime, Drama, Mystery|Keller Dover is facing every parent&apos;s worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their s...|PT2H33M|R|8.2
157|Hauru no ugoku shiro|Animation, Adventure, Family|When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.|PT1H59M|PG|8.2
158|Rashômon|Crime, Drama, Mystery|The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter.|PT1H28M|Not Rated|8.2
159|The Elephant Man|Biography, Drama|A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.|PT2H4M|PG|8.2
160|Dial M for Murder|Crime, Thriller|A former tennis star arranges the murder of his adulterous wife.|PT1H45M|PG|8.2
161|Chinatown|Drama, Mystery, Thriller|A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.|PT2H10M|R|8.1
162|Gone with the Wind|Drama, Romance, War|A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.|PT3H58M|G|8.2
163|Lock, Stock and Two Smoking Barrels|Action, Comedy, Crime|Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.|PT1H47M|R|8.1
164|El secreto de sus ojos|Drama, Mystery, Romance|A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.|PT2H9M|R|8.2
165|V for Vendetta|Action, Drama, Sci-Fi|In a future British dystopian society, a shadowy freedom fighter, known only by the alias of &quot;V&quot;, plots to overthrow the tyrannical government - with the help of a young woman.|PT2H12M|R|8.1
166|Inside Out|Animation, Adventure, Comedy|After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.|PT1H35M|PG|8.1
167|Three Billboards Outside Ebbing, Missouri|Comedy, Crime, Drama|A mother personally challenges the local authorities to solve her daughter&apos;s murder when they fail to catch the culprit.|PT1H55M|R|8.1
168|Raging Bull|Biography, Drama, Sport|The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.|PT2H9M|R|8.1
169|Trainspotting|Drama|Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.|PT1H33M|R|8.1
170|The Bridge on the River Kwai|Adventure, Drama, War|British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.|PT2H41M|PG|8.1
171|Klaus|Animation, Adventure, Comedy|A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.|PT1H36M|PG|8.2
172|Catch Me If You Can|Biography, Crime, Drama|Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.|PT2H21M|PG-13|8.1
173|Fargo|Crime, Thriller|Minnesota car salesman Jerry Lundegaard&apos;s inept crime falls apart due to his and his henchmen&apos;s bungling and the persistent police work of the quite pregnant Marge Gunderson.|PT1H38M|R|8.1
174|Warrior|Action, Drama, Sport|The youngest son of an alcoholic former boxer returns home, where he&apos;s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.|PT2H20M|PG-13|8.1
175|Spider-Man: No Way Home|Action, Adventure, Fantasy|With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.|PT2H28M|PG-13|8.2
176|Gran Torino|Drama|After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.|PT1H56M|R|8.1
177|Harry Potter and the Deathly Hallows - Part 2|Adventure, Family, Fantasy|Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.|PT2H10M|PG-13|8.1
178|Million Dollar Baby|Drama, Sport|Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.|PT2H12M|PG-13|8.1
179|Tonari no Totoro|Animation, Comedy, Family|When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.|PT1H26M|G|8.1
180|Mad Max: Fury Road|Action, Adventure, Sci-Fi|In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.|PT2H|R|8.1
181|Bacheha-Ye aseman|Drama, Family, Sport|After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair.|PT1H29M|PG|8.2
182|Ben-Hur|Adventure, Drama|A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it&apos;s not long before he regains his freedom and comes back for revenge.|PT3H32M|G|8.1
183|12 Years a Slave|Biography, Drama, History|In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.|PT2H14M|R|8.1
184|Barry Lyndon|Adventure, Drama, War|An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.|PT3H5M|PG|8.1
185|Before Sunrise|Drama, Romance|A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.|PT1H41M|R|8.1
186|Blade Runner|Action, Drama, Sci-Fi|A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.|PT1H57M|R|8.1
187|The Grand Budapest Hotel|Adventure, Comedy, Crime|A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.|PT1H39M|R|8.1
188|Hacksaw Ridge|Biography, Drama, History|World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.|PT2H19M|15|8.1
189|Gone Girl|Drama, Mystery, Thriller|With his wife&apos;s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it&apos;s suspected that he may not be innocent.|PT2H29M|R|8.1
190|Dead Poets Society|Comedy, Drama|Maverick teacher John Keating returns in 1959 to the prestigious New England boys&apos; boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.|PT2H8M|PG|8.1
191|Maharaja|Action, Crime, Drama|A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.|PT2H21M|N/A|8.5
192|Salinui chueok|Crime, Drama, Mystery|In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.|PT2H11M|Not Rated|8.1
193|In the Name of the Father|Biography, Crime, Drama|An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.|PT2H13M|R|8.1
194|The Gold Rush|Adventure, Comedy, Drama|A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.|PT1H35M|Approved|8.1
195|Monsters, Inc.|Animation, Adventure, Comedy|In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.|PT1H32M|G|8.1
196|Relatos salvajes|Comedy, Drama, Thriller|Six short stories that explore the extremities of human behavior involving people in distress.|PT2H2M|R|8.1
197|The Deer Hunter|Drama, War|An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.|PT3H3M|16|8.1
198|The General|Action, Adventure, Comedy|After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...|PT1H18M|Passed|8.1
199|Sherlock Jr.|Action, Comedy, Romance|A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.|PT45M|Passed|8.2
200|Jaws|Adventure, Drama, Thriller|When a massive killer shark unleashes chaos on a beach community off Long Island, it&apos;s up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.|PT2H4M|PG|8.1
201|Ratatouille|Animation, Adventure, Comedy|A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.|PT1H51M|G|8.1
202|How to Train Your Dragon|Animation, Action, Adventure|A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.|PT1H38M|PG|8.1
203|On the Waterfront|Crime, Drama, Thriller|An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.|PT1H48M|Approved|8.1
204|Mary and Max.|Animation, Comedy, Drama|In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.|PT1H32M|Not Rated|8.1
205|Le salaire de la peur|Adventure, Drama, Thriller|In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.|PT2H11M|Not Rated|8.1
206|Smultronstället|Drama, Romance|After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.|PT1H32M|Not Rated|8.1
207|The Third Man|Film-Noir, Mystery, Thriller|Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.|PT1H44M|Approved|8.1
208|Ford v Ferrari|Action, Biography, Drama|American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.|PT2H32M|PG-13|8.1
209|Mr. Smith Goes to Washington|Comedy, Drama|A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...|PT2H9M|Approved|8.1
210|Logan|Action, Drama, Sci-Fi|In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.|PT2H17M|15|8.1
211|Tôkyô monogatari|Drama|An old couple visit their children and grandchildren in the city, but receive little attention.|PT2H16M|Not Rated|8.1
212|Rocky|Drama, Sport|A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.|PT2H|PG|8.1
213|The Big Lebowski|Comedy, Crime|Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.|PT1H57M|R|8.1
214|Det sjunde inseglet|Drama, Fantasy|A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.|PT1H36M|Not Rated|8.1
215|Room|Drama, Thriller|A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.|PT1H58M|R|8.1
216|Spotlight|Biography, Crime, Drama|The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.|PT2H9M|R|8.1
217|The Terminator|Action, Adventure, Sci-Fi|A cyborg assassin from the future attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction.|PT1H47M|R|8.1
218|Hotel Rwanda|Biography, Drama, History|Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.|PT2H1M|PG-13|8.1
219|Platoon|Drama, War|Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.|PT2H|R|8.1
220|La haine|Crime, Drama|24 hours in the lives of three young men in the French suburbs the day after a violent riot.|PT1H38M|Not Rated|8.1
221|Pirates of the Caribbean: The Curse of the Black Pearl|Action, Adventure, Fantasy|Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.|PT2H23M|PG-13|8.1
222|Before Sunset|Drama, Romance|Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.|PT1H20M|R|8.1
223|La passion de Jeanne d&apos;Arc|Biography, Drama, History|In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.|PT1H50M|Passed|8.1
224|Jai Bhim|Crime, Drama, Mystery|When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.|PT2H44M|Approved|8.7
225|The Best Years of Our Lives|Drama, Romance, War|Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.|PT2H50M|Approved|8.1
226|The Exorcist|Horror|When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.|PT2H2M|R|8.1
227|Rush|Action, Biography, Drama|James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.|PT2H3M|R|8.1
228|The Incredibles|Animation, Action, Adventure|While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.|PT1H55M|PG|8.0
229|The Wizard of Oz|Adventure, Family, Fantasy|Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...|PT1H42M|G|8.1
230|Network|Drama|A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.|PT2H1M|R|8.1
231|Stand by Me|Adventure, Comedy, Drama|A writer recounts a childhood journey with his friends to find the body of a missing boy.|PT1H29M|R|8.1
232|Hachi: A Dog&apos;s Tale|Biography, Drama, Family|Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...|PT1H33M|G|8.1
233|The Sound of Music|Biography, Drama, Family|A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.|PT2H52M|G|8.1
234|Babam ve Oglum|Drama, Family|The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.|PT1H52M|Not Rated|8.2
235|Ah-ga-ssi|Drama, Romance, Thriller|In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...|PT2H25M|Not Rated|8.1
236|To Be or Not to Be|Comedy, Romance, War|During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.|PT1H39M|Approved|8.1
237|Into the Wild|Adventure, Biography, Drama|After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.|PT2H28M|R|8.1
238|La battaglia di Algeri|Drama, War|In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.|PT2H1M|Not Rated|8.1
239|The Grapes of Wrath|Drama|An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.|PT2H9M|Approved|8.1
240|Groundhog Day|Comedy, Drama, Fantasy|A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.|PT1H41M|PG|8.0
241|The Iron Giant|Animation, Action, Adventure|A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.|PT1H26M|PG|8.1
242|Amores perros|Drama, Thriller|An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.|PT2H34M|R|8.0
243|Rebecca|Drama, Mystery, Romance|A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.|PT2H10M|Approved|8.1
244|The Help|Drama|An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...|PT2H26M|PG-13|8.1
245|Cool Hand Luke|Crime, Drama|A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.|PT2H7M|Approved|8.1
246|It Happened One Night|Comedy, Romance|A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.|PT1H45M|Approved|8.1
247|Paris, Texas|Drama|Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.|PT2H25M|R|8.1
248|Drishyam|Crime, Drama, Mystery|Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.|PT2H43M|Not Rated|8.2
249|Scent of a Woman|Drama|A prep school student needing money agrees to &quot;babysit&quot; a blind man, but the job is not at all what he anticipated.|PT2H36M|R|8.0
250|dummy||dummy description|123||
251|Viral video|Youtube Shorts|This is a youtube viral video|PT1M||
